Stations_id von_datum bis_datum Stationshoehe geoBreite geoLaenge Stationsname Bundesland
00920 19510101 19870929 108 49.8564 8.5929 Darmstadt_(US-Air-Base) Hessen
00950 19850101 19930228 194 51.9500 8.9000 Detmold Nordrhein-Westfalen
00953 19690101 20231206 481 49.7619 7.0542 Deuselbach Rheinland-Pfalz
00954 20010403 20221121 0 54.1796 7.4587 UFS_Deutsche_Bucht Hamburg
00963 19740101 20231206 38 52.5881 8.3424 Diepholz Niedersachsen
00981 19820501 20011231 193 49.3531 6.7490 Dillingen_(Saar) Saarland
00998 19500101 20090201 696 48.7968 8.4921 Dobel Baden-Wurttemberg
01001 19810101 20231206 97 51.6451 13.5747 Doberlug-Kirchhain Brandenburg
01010 19870401 20080923 5 52.9732 7.3209 Dorpen_(Klaranlage) Niedersachsen
01011 19901011 20231206 442 49.6017 7.7413 Dorrmoschel-Felsbergerhof Rheinland-Pfalz
01013 19800401 20231206 309 47.6026 8.1697 Dogern Baden-Wurttemberg
01035 19931201 20001130 122 51.5206 7.6161 Dortmund-Wickede Nordrhein-Westfalen
01048 19730101 20231206 228 51.1278 13.7543 Dresden-Klotzsche Sachsen
01076 19800301 20081231 692 48.0135 8.5343 Durrheim,_Bad Baden-Wurttemberg
01078 19520101 20231206 37 51.2960 6.7686 Dusseldorf Nordrhein-Westfalen
01126 19840401 19990130 117 49.9600 8.6400 Egelsbach Hessen
01130 19720401 20040229 18 54.6282 9.3649 Eggebek Schleswig-Holstein
01163 19761101 20070224 4 54.2667 8.8500 Eidersperrwerk Schleswig-Holstein
01200 20071120 20231206 3 54.0691 9.0105 Elpersbuttel Schleswig-Holstein
01219 19750101 19980310 5 53.3449 7.1909 Emden-Nesserland Niedersachsen
01221 19500301 19741231 0 53.3707 7.2236 Emden-Wolthusen Niedersachsen
01228 20010424 20231206 0 54.1651 6.3460 UFS_TW_Ems Hamburg
01261 19690101 19920731 460 48.3192 11.9440 Erding Bayern
01262 19920519 20231206 446 48.3477 11.8134 Munchen-Flughafen Bayern
01270 19730101 20231206 316 50.9829 10.9608 Erfurt-Weimar Thuringen
01281 19820101 20010430 284 49.5653 10.9729 Erlangen-Frauenaurach Bayern
01297 19801201 19850718 156 51.2041 10.0138 Eschwege Hessen
01303 19630101 20231206 150 51.4041 6.9677 Essen-Bredeney Nordrhein-Westfalen
01339 19710101 20231130 76 52.9157 10.1885 Fassberg Niedersachsen
01346 19550101 20231206 1486 47.8748 8.0038 Feldberg/Schwarzwald Baden-Wurttemberg
01347 19800301 19870131 962 47.8555 8.1155 Feldberg-Altglashutten Baden-Wurttemberg
01357 19931215 20231206 655 49.9807 11.8376 Fichtelberg/Oberfranken-Huttstadl Bayern
01358 19550101 20231206 1213 50.4283 12.9536 Fichtelberg Sachsen
01359 19820101 19921126 705 50.0242 11.2219 Fichtelberg/Ofr Bayern
01379 19821201 20231206 41 54.7737 9.3753 Flensburg_(Schaferhaus) Schleswig-Holstein
01415 19760601 19881231 100 50.0333 8.5333 Frankfurt_(07W) Hessen
01416 19840401 19871231 97 50.0167 8.5333 Frankfurt_(18W) Hessen
01420 19670101 20231206 100 50.0259 8.5213 Frankfurt/Main Hessen
01422 19730801 19890430 114 50.0972 8.6936 Frankfurt_(Henninger_Turm) Hessen
01423 19720501 19871231 111 50.0496 8.5887 Frankfurt/Main_(Terminal) Hessen
01425 19510501 19621231 103 50.1214 8.6604 Frankfurt/Main_(Feldbergstr.) Hessen
01426 19640101 19841231 65 52.3397 14.5080 Frankfurt/Oder Brandenburg
01443 19550101 20231206 237 48.0232 7.8343 Freiburg Baden-Wurttemberg
01467 19980101 20091231 736 48.4607 8.4141 Freudenstadt-Kurgarten Baden-Wurttemberg
